name,excerpt,description,inspiration_id,created_at,updated_at,question,factor,code
Team question for all hands,Collaborate on a key question at all hands,"Asking questions at an all hands meeting can be daunting. To encourage healthy discussion, one company launched an initiative where each team presented one question at the meeting. The team discussion prior to the meeting helped teams align on their focus areas and identify blockers.",e83552a4-1093-49c7-9d4b-d85852036b8e,2017-08-23T06:11:53.795424,2018-01-25T04:20:46.154183,I feel I am part of a team,,TEA.1
Rules of Engagement,Establish ideal ways of working in a team,"Define your team's social norms that will help them work together. Hold a collaborative session during which team members can air out their grievances, work through conflict, discuss what they expect from one another, establish empathy and build trust in each other. Use a whiteboard to write them down. Once pain points have been established, this practice will help your team brainstorm ideas to build good culture and then focus on ways to bring these to life.",8726e6ff-7370-4190-b205-35a17030b1e6,2018-02-22T22:31:24.896886,2018-02-22T22:31:24.903054,I feel I am part of a team,,TEA.1
Bonding Through Interests,Use playful actions like music playlists to bond teams,"Kickstart inclusivity in teams through simple, playful actions. Create a shared playlist, have a list of favorite team lunch spots, host a Friday morning dance-at-your-desk event. If your music tastes aren't aligned, take turns to share favorite albums, or encourage people to add a song to a shared playlist.",5c804c55-4551-430f-b948-7653dd53fa23,2018-02-22T22:31:32.911378,2018-02-22T22:31:32.917625,I feel I am part of a team,,TEA.1
Project retrospectives,Review each project with representatives from an entire department,"Look back to learn in small and large teams. One organization holds frequent project retrospectives which allow teams to work together to identify mistakes, what went well and ultimately apply learning toward the next project. For larger teams, they scale retrospectives using a few additional steps. First, a team of facilitators are identified and trained. Then, those facilitators perform focus groups around standardized themes with project team members. Next, the facilitators get back together and compare notes. Finally, the themes are presented at an all hands meeting to share learnings and get feedback.",565a9798-72c6-4b39-a6c9-07701af9e993,2017-08-17T11:06:08.141212,2018-01-25T04:20:45.978364,We hold ourselves and our team members accountable for results,,TEA.2
Team commitments,Weekly team targets and commitments,"Encourage greater individual accountability by setting up weekly team meetings. At the beginning of the weekly planning, team members discuss what they learned and what they accomplished the previous week. Then each member shares the things they are committing to complete that week. Dependencies are discussed so that team members know who will be relying on their work. Progress on key commitments during the week is shared in an online communications channel where individuals can collaborate on tasks and celebrate successes.",7879e0af-2175-4dcd-8ce6-005406c96259,2017-08-17T11:07:02.062863,2018-01-25T04:20:46.027091,We hold ourselves and our team members accountable for results,,TEA.2
Tracking key results,Tracking progress against key results,"Track progress toward quarterly commitments. One organization has clear organization-wide objectives and each team takes responsibility for tracking against specific key results. Weekly individual team meetings include a review of progress on the quarterly commitment. This method ensures both alignment across the organization and clear accountability for teams and individuals to help meet overall objectives. To further encourage accountability, each all hands meeting includes a quick review of the organization's objectives and progress.",1c0603cb-1eff-46a0-883c-93e69a5490eb,2017-08-17T11:07:04.261127,2018-01-25T04:20:46.008570,We hold ourselves and our team members accountable for results,,TEA.2
Rotating team leads,Rotating team leads and assessing impact,"Increase ownership for team deliverables. One company assigns rotating team leads each quarter to own team meetings and track progress toward commitments. By having rotating team leads, all members experience key accountability for results. This also increases empathy for the team lead since all team members experience the challenge of planning and tracking progress for the quarter.",5260bfce-b7e5-42e1-a794-a54fc6a8c628,2017-08-17T11:07:06.191723,2018-01-25T04:20:46.017010,We hold ourselves and our team members accountable for results,,TEA.2
Weekly weigh-ups,Hold team check-ins weekly,"Hold team check-ins weekly to discuss workloads. Often team members are not aware of each other's workloads, making it hard to know who needs help and how to help them. One company makes managing workloads a shared challenge by having a formalized check-in each week to share what people are working on. When team members are more aware of other's work and challenges, it's easier to offer to jump in and help.",40b6b2a8-0d03-4212-9969-3751d711a118,2017-08-17T11:06:54.876365,2018-01-25T04:20:46.007866,Workloads are divided fairly among people where I work,,TEA.3
Culture of commitment,Define a culture of commitment conversations,"Define what a committed employee looks like at your organization. The head of one department saw that some employees were taking on much more than they could own and deliver during business hours. This behavior was causing burn-out and resulted in poor quality outputs. The leader now holds quarterly conversations with employees about workload and each session highlights the difference between commitment and heroism. Additionally, in all one-on-one meetings, managers are encouraged to have commitment vs. heroism conversations.",a574a4ae-e6de-47b7-9966-dd29b667be55,2017-08-17T11:07:08.090215,2018-01-25T04:20:46.035250,Workloads are divided fairly among people where I work,,TEA.3
Pairing to increase capacity and flexibility,Enable flexibility in capacity by pairing employees,"Address uneven flow of work requirements and resulting unreasonable workloads. One company pairs employees so that each employee has a primary portfolio of work and is secondarily responsible for filling in for a colleague as needed (if time/workload allows). By having a backup in place, the company can accommodate increased workloads much more effectively without putting too much strain on individual employees.",e51881ac-ab9d-4c49-9c7e-147cc9a72937,2017-08-17T11:07:10.940567,2018-01-25T04:20:46.009317,Workloads are divided fairly among people where I work,,TEA.3
Support requests in meetings,Facilitate giving and receiving support,"Give employees an easy way to highlight a need for support. One team has a space in their meeting notes for individuals to request support. Support includes sharing workload, sharing expertise, or simply making internal referrals. Not only does this help employees manage their workload, it also increases visibility on what team members are focused on.",c43f038b-c1cf-4204-a2f1-c1e6aa86f587,2017-08-17T11:07:32.193396,2018-01-25T04:20:46.039625,Workloads are divided fairly among people where I work,,TEA.3
One thing I'm saying no to,Share missed projects,"In team meetings, include a section around ""one thing I'm saying no to this week"". This lets others know where they might need to pick up an extra project and gives them a clear opportunity to volunteer to help.",997a6913-a905-4d22-80da-04f4299383ff,2018-10-25T04:42:27.118606,2018-10-25T04:42:27.148672,Workloads are divided fairly among people where I work,,TEA.3
Meditation room,Create a quiet space,Create a quiet space for employees to work or reset. One company turned an unused space in the office into a meditation room. Employees often volunteer to lead meditation sessions and invite the entire office.,1af7c22d-6bea-455c-90bd-0ce129ddde22,2017-08-17T11:02:07.775923,2018-01-25T04:20:45.820765,"Generally, I believe my workload is reasonable for my role",,WLI.1
No meeting Wednesdays,Free up time for the 'makers' to make,"Provide employees with the time to focus on execution. One company uses ""No Meeting Wednesdays"" to make sure employees have the time to focus on getting things done. The company acknowledges that managers spend most of their time in meetings while other employees, that they called ""makers,"" need uninterrupted time to make.",cd794049-d6a0-4e59-ada2-ecbe932dada1,2017-08-17T11:02:28.519474,2018-01-25T04:20:45.839175,"Generally, I believe my workload is reasonable for my role",,WLI.1
Culture of commitment,Define a culture of commitment conversations,"Define what a committed employee looks like at your organization. The head of one department saw that some employees were taking on much more than they could own and deliver during business hours. This behavior was causing burn-out and resulted in poor quality outputs. The leader now holds quarterly conversations with employees about workload and each session highlights the difference between commitment and heroism. Additionally, in all one-on-one meetings, managers are encouraged to have commitment vs. heroism conversations.",a574a4ae-e6de-47b7-9966-dd29b667be55,2017-08-17T11:07:08.090215,2018-01-25T04:20:46.035250,"Generally, I believe my workload is reasonable for my role",,WLI.1
Pairing to increase capacity and flexibility,Enable flexibility in capacity by pairing employees,"Address uneven flow of work requirements and resulting unreasonable workloads. One company pairs employees so that each employee has a primary portfolio of work and is secondarily responsible for filling in for a colleague as needed (if time/workload allows). By having a backup in place, the company can accommodate increased workloads much more effectively without putting too much strain on individual employees.",e51881ac-ab9d-4c49-9c7e-147cc9a72937,2017-08-17T11:07:10.940567,2018-01-25T04:20:46.009317,"Generally, I believe my workload is reasonable for my role",,WLI.1
Email response policies,Give everyone clarity around email response expectations,"Provide clear expectations on when work activity is appropriate after standard work hours. Instead of instituting a ban on emails after work hours, one company developed clear policies around when someone is expected to respond to an email (or other communication). Having policies about response expectations ensures everyone is on the same page. It also doesn't inhibit employees from sending ideas outside of normal hours - there is just no expectation that a response will occur until the following work day. Team Level: Within your team, determine what the current norms are for sending and receiving emails and messages. Discuss what hours employees would like to be 'no response required' times.",c0dd43e1-118d-4b7e-a781-ac63a66fdff0,2017-08-17T11:07:29.757495,2018-01-25T04:20:46.028393,"Generally, I believe my workload is reasonable for my role",,WLI.1
Support requests in meetings,Facilitate giving and receiving support,"Give employees an easy way to highlight a need for support. One team has a space in their meeting notes for individuals to request support. Support includes sharing workload, sharing expertise, or simply making internal referrals. Not only does this help employees manage their workload, it also increases visibility on what team members are focused on.",c43f038b-c1cf-4204-a2f1-c1e6aa86f587,2017-08-17T11:07:32.193396,2018-01-25T04:20:46.039625,"Generally, I believe my workload is reasonable for my role",,WLI.1
Meditation room,Create a quiet space,Create a quiet space for employees to work or reset. One company turned an unused space in the office into a meditation room. Employees often volunteer to lead meditation sessions and invite the entire office.,1af7c22d-6bea-455c-90bd-0ce129ddde22,2017-08-17T11:02:07.775923,2018-01-25T04:20:45.820765,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Sabbaticals,Allow extended time off work for personal development,"Provide tenured employees with extended time off to focus on personal development. One company has a sabbatical program that allows employees that have been with the company for seven years to take a three month break to pursue their own personal development. During the break, employees receive weekly updates on the business but are never (beyond emergencies) asked to contribute. In order to promote the program, one of the founders took a three month trip to 20 cities, and several other employees have followed suit. Employees come back reinvigorated and ready to get back to work with a fresh perspective.",aa437744-ad41-4aa1-aa81-09c5d761ea88,2017-08-17T11:07:15.020607,2018-01-25T04:20:46.017726,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Recharge days,Flexible time off to address burnout,"In addition to vacation days that require approval, consider giving employees fully flexible time off. One company provides recharge days to be used when an employee has worked exceptionally hard on a project, had significant time traveling for work or just generally feels at risk of burnout. No one has to approve the time off and it is unlimited.",def7f588-65eb-4627-8229-ea5386aa423f,2017-08-17T11:07:18.040174,2018-01-25T04:20:46.006460,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Work policy manager training,Enable managers to role model effective work/life blend,"Help managers role model effective work-life choices. One company developed a training program for managers to understand how they can encourage good work-life choices. The training educates managers on current policies and encourages them to make full use of vacation days and telecommuting options. Team Level: Model work positive work/life blend by making full use of vacation days and telecommuting options, and rarely sending emails outside of work hours. Ensure that people understand the options available and encourage their use.",e8c16520-5c1c-4183-9b6a-0644aa2940d4,2017-08-17T11:07:21.298467,2018-01-25T04:20:46.027751,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Anniversary day off,Give your tenured employees a day off to celebrate,"Celebrate work anniversaries. One company celebrates by giving employees a paid day off from work on their work anniversary. During that day, their colleagues are encouraged to decorate the employee's desk in ways that highlight the unique value that person brings to the team.",98e14464-dde5-4286-b4d5-ebbbf80956f4,2017-08-17T11:07:28.005854,2018-01-25T04:20:46.019019,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Email response policies,Give everyone clarity around email response expectations,"Provide clear expectations on when work activity is appropriate after standard work hours. Instead of instituting a ban on emails after work hours, one company developed clear policies around when someone is expected to respond to an email (or other communication). Having policies about response expectations ensures everyone is on the same page. It also doesn't inhibit employees from sending ideas outside of normal hours - there is just no expectation that a response will occur until the following work day. Team Level: Within your team, determine what the current norms are for sending and receiving emails and messages. Discuss what hours employees would like to be 'no response required' times.",c0dd43e1-118d-4b7e-a781-ac63a66fdff0,2017-08-17T11:07:29.757495,2018-01-25T04:20:46.028393,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Flex-time,Setup core collaboration hours with flexibility on the edges,"Allow employees to use flex schedules around a core set of hours when everyone is expected to be in and working together. One company uses a flex-time policy where employees can work (almost) any hours. The only stipulation, to facilitate in-person collaboration, is there are core working hours when every employee needs to be in the office. For example, all members of the team must be in the office from 10am - 2pm Monday and Wednesday.",2495daeb-c1ba-443d-9e57-24bd271ad45f,2017-08-17T11:07:39.781459,2018-01-25T04:20:46.029037,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
In-house services,Increase access to support services,"Increase the number of services available to employees at work. Instead of adding more paid time off, one company took a different approach by directly addressing some of the most common reasons employees take time off. They provide more services onsite, including childcare services, laundry/dry cleaning, providing meal options, and a gym. Most of the services are completely free.",21c2632f-849c-4ba5-84f8-7cc765ee8d8c,2017-08-17T11:07:42.245574,2018-01-25T04:20:46.040293,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Job share,Allow for job sharing to keep employees connected,"Allow for job sharing to keep strong employees connected with the organization. One company has set up job sharing roles to enable employees to work part-time but still stay connected. Now, two employees both working part-time adequately fill one position. The employees are able to work their preferred hours and the company gets the benefit of knowing the position will always be covered. Additionally, two heads working together on the same project often leads to better and more innovative solutions.",311eecc4-d108-4e95-8ca0-f4e0fc58a704,2017-08-17T11:07:43.855617,2018-01-25T04:20:46.051298,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Work from anywhere week,Expand perspective by working in different locations,"Expand your perspective and work in a different place once a quarter. At this company, one week per quarter all employees are asked to work from anywhere. The founder encourages employees to travel to change their perspective in hopes of spurring new ideas and products. They've seen an increase in productivity because employees want to get their work done early in the week to have the rest of the week off. Some structure is put in place, including identifying what will be achieved, and blocking off time that they will be online.",985ac713-3664-409c-9ed4-8145929c0277,2017-08-17T11:07:46.285165,2018-01-25T04:20:46.019651,We are genuinely supported if we choose to make use of flexible working arrangements,,WLI.2
Communal Space,Facilitate informal employee meetings across departments,"Help employees find ways to connect across teams by creating spaces that encourage collaboration and teamwork. Consider creating a communal space with lounge chairs, books, arcade games and snacks for employees to use when they want to take a casual break. Choose a location for the space that situates it between multiple departments to encourage conversations between employees that might not otherwise interact.",504d0c52-554c-45f4-a5ab-db619306b0e7,2017-08-17T11:06:34.437903,2018-01-25T04:20:46.001218,I am able to arrange time out from work when I need to,,WLI.3
Sabbaticals,Allow extended time off work for personal development,"Provide tenured employees with extended time off to focus on personal development. One company has a sabbatical program that allows employees that have been with the company for seven years to take a three month break to pursue their own personal development. During the break, employees receive weekly updates on the business but are never (beyond emergencies) asked to contribute. In order to promote the program, one of the founders took a three month trip to 20 cities, and several other employees have followed suit. Employees come back reinvigorated and ready to get back to work with a fresh perspective.",aa437744-ad41-4aa1-aa81-09c5d761ea88,2017-08-17T11:07:15.020607,2018-01-25T04:20:46.017726,I am able to arrange time out from work when I need to,,WLI.3
Recharge days,Flexible time off to address burnout,"In addition to vacation days that require approval, consider giving employees fully flexible time off. One company provides recharge days to be used when an employee has worked exceptionally hard on a project, had significant time traveling for work or just generally feels at risk of burnout. No one has to approve the time off and it is unlimited.",def7f588-65eb-4627-8229-ea5386aa423f,2017-08-17T11:07:18.040174,2018-01-25T04:20:46.006460,I am able to arrange time out from work when I need to,,WLI.3
Vacation discounts,Help make vacations a financial reality for your employees,"Make special vacations a reality for employees. To incentivize taking vacations, one company partners with travel agencies and hotels to provide their employees with discounts on vacation packages. They advertise these discounts internally and have setup channels on their internal communications software for employees to share their experience on the trips and to encourage others to take advantage of opportunities.",905e2ce6-cfae-4be0-aaf0-55b914abfcde,2017-08-17T11:07:24.636819,2018-01-25T04:20:46.018383,I am able to arrange time out from work when I need to,,WLI.3
Cross-training,Train employees across positions to ensure adequate coverage,"Train employees across positions to ensure adequate coverage. One organization uses a cross-training program to ensure every role has adequate coverage if an employee leaves the organization or just needs to take time off. An inventory of high risk roles and associated tasks is created and people are given the opportunity to identify tasks they are most interested in learning. The training typically starts as shadowing and culminates in a small project to make sure the person can successfully perform the task. Team Level: Within your team you can initiate cross-training by encouraging team members to shadow each other, particularly when one individual is starting a new project. You can also incorporate cross-training opportunities into your one-on-one meetings to help achieve team members' developmental goals.",065c067a-8127-4290-b9e0-695ef5ebb2b3,2017-08-17T11:07:36.509771,2018-01-25T04:20:46.047436,I am able to arrange time out from work when I need to,,WLI.3
Flex-time,Setup core collaboration hours with flexibility on the edges,"Allow employees to use flex schedules around a core set of hours when everyone is expected to be in and working together. One company uses a flex-time policy where employees can work (almost) any hours. The only stipulation, to facilitate in-person collaboration, is there are core working hours when every employee needs to be in the office. For example, all members of the team must be in the office from 10am - 2pm Monday and Wednesday.",2495daeb-c1ba-443d-9e57-24bd271ad45f,2017-08-17T11:07:39.781459,2018-01-25T04:20:46.029037,I am able to arrange time out from work when I need to,,WLI.3
Job share,Allow for job sharing to keep employees connected,"Allow for job sharing to keep strong employees connected with the organization. One company has set up job sharing roles to enable employees to work part-time but still stay connected. Now, two employees both working part-time adequately fill one position. The employees are able to work their preferred hours and the company gets the benefit of knowing the position will always be covered. Additionally, two heads working together on the same project often leads to better and more innovative solutions.",311eecc4-d108-4e95-8ca0-f4e0fc58a704,2017-08-17T11:07:43.855617,2018-01-25T04:20:46.051298,I am able to arrange time out from work when I need to,,WLI.3
Make time to discuss blockers,Allocate time to check-in on blockers and find solutions,"Create a regular time in team meetings to discuss any blockers to people getting their work done. For example, during a stand-up meeting, once each person has outlined what they are working on, ask if anyone has any blockers to getting their work done. You may be able to come up with a solution in the group, or offer to help afterwards. You will quickly learn what challenges the team encounter and catch them earlier. At the end of the week reflect on the barriers you overcame and any lessons learnt as a team (or with individuals). Ask what worked, and what didn’t and how one could approach the blocker next time.",582f44ed-2da0-4657-9f08-02babfd8a218,2018-06-08T02:19:44.223848,2018-06-08T02:19:44.230773,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Challenge board,Document challenges and team up to find solutions,"Have a whiteboard where people can write up the challenges they are facing and work together to group the challenges into categories (for example: infrastructure, resources). Team members facing similar challenges can self-select and put their name against a challenge or category. You can help select pairs or groups who have similar challenges to work on solving them and help remove any blockers they identify. Give progress updates (or ask each problem-solving team to update) on how solutions are progressing.",e62936f3-fdee-47e1-9e02-997b3d601654,2018-06-08T02:19:46.378222,2018-06-08T02:19:46.384948,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Shadow for a day,Get a deeper understanding of individual roles,"As a team leader or manager, shadow a team member for a few hours or a day, not to check up or manage but purely to learn what challenges they encounter. Often as people move into leadership roles they get further away from the day-to-day reality of our team members. Spending a few hours working alongside direct reports with you being the 'student' and just asking questions can be beneficial in helping you understand more about their current work, including challenges and opportunities. ",0e3148c0-e10f-4344-87e5-2f8436a550d3,2018-06-08T02:19:45.240612,2018-06-08T02:19:45.252924,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Team huddle,Syncing up with a short daily team huddle,"Hold quick daily sync-up meetings to ensure alignment. Daily seven-minute team huddles can be very effective to review focus areas for the day and give updates. The purpose of the huddles is not to solve problems or find solutions, but for the team to pass along and share information in a quick and digestible format.",73eba9a0-e902-4849-b607-f921396614cf,2017-08-17T11:05:43.168485,2018-01-25T04:20:45.977069,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Help me cards,Give employees an easy way to ask for help,"Provide people with a clear and easy way to get your attention when they really need your support as a manager. Create a physical artifact, like a coffee card, that employees are given during their first week. Employees use that card whenever they really need to get their manager's attention and need immediate support.",aa7c8219-3a35-4a1c-b929-3cf1cee48f09,2017-08-17T11:05:49.885470,2018-01-25T04:20:45.931090,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Watch me work,Give employees an opportunity to describe their work,"Develop a Watch Me Work segment at meetings where a team explains what their work is and how they complete it. The goal is to enable understanding of other teams' goals, processes and impact, and to develop empathy. Depending on the size of the team, each team member could outline their role and how it contributes to the larger organizational goals. At one company, they also included what tools they use to complete their work and how people could track project progression. Additional topics that could be covered include: how to put in requests, or their most used resources. For managers, this is a great way to learn about any challenges or blockers that your direct reports are experiencing.",820fdbcf-79f4-493f-b6f3-e5acede37d9d,2017-08-17T11:01:18.082455,2018-01-25T04:20:45.820017,My manager has a good understanding of the challenges our team encounters in our work,,MGRCAP.1
Be vulnerable,Ask for feedback from your employees,Request in the moment feedback from your direct reports  – for example immediately after a company-wide presentation or at an all-hands meeting. You can ask for feedback on your presentation style or message to start out with and move onto more ‘courageous’ topics from there. This illustrates that you’re willing to be vulnerable in order to unlock development opportunities. Further demonstrate how to receive feedback by sharing what you learned and the actions you’ll take.,a4ffebba-fe52-4a97-8a23-16c1e7419e40,2018-06-08T02:20:54.262581,2018-06-08T02:20:54.269651,My manager has the right technical knowledge to help our team,,MGRCAP.3
Appoint a tech-spert (Tech Lead),Separate technical leadership from people leadership,"Appoint or hire a tech lead for your team. This person is responsible for having the technical expertise required by the team and will be in charge of making domain or expert decisions. They will also be responsible for developing technical skills in the team and providing support. Essentially this means separating out technical skills from management skills to ensure that the team have both. It can be a rotating role. Appointing tech leads is very common in engineering teams, however, this practice can be used in other domains for example sales or finance.",0a16412c-dedf-4f8d-bd4a-79a34ed096cd,2018-06-08T02:20:06.332761,2018-06-08T02:20:06.339449,My manager has the right technical knowledge to help our team,,MGRCAP.3
Team skills inventory,Who are the experts and where are there are skills gaps?,"Use a team skills inventory to identify the skills you have across your team, where there are gaps and how important skills are to achieving current goals. Consider plotting skills on a strength x importance matrix. Once you have identified who is the expert in each area encourage team members to go to relevant people for support when specific skills are required.",c13190cb-2e1a-4c75-8709-ca417d2823fb,2018-06-08T02:20:07.466969,2018-06-08T02:20:07.473274,My manager has the right technical knowledge to help our team,,MGRCAP.3
Micro-mentoring to strengthen skills,Receive informal mentoring from multiple people,"Once you have identified areas where you have an opportunity to improve your skills, reach out to people in your network who have strong skills in the areas you have gaps. Schedule an informal catch-up and ask them a few questions about their expertise. For example, if your knowledge of security is weak, spend one hour with the head of security to understand what threats are relevant for your team’s work. You'll be receiving micro-mentoring rather than needing to establish formal mentoring and you’ll gain relevant skills and pieces of knowledge in bite-size pieces as needed.",ee5c4c20-7ca3-489d-bd99-61624cfc8f7f,2018-06-08T02:20:05.173072,2018-06-08T02:20:05.178936,My manager has the right technical knowledge to help our team,,MGRCAP.3
Feedback from employees,Ask for feedback from direct reports on your performance,"Show vulnerability and a desire to improve by asking your team members for feedback. By starting with receiving feedback, you will also set a good example and make it easier to follow-up by giving your direct reports more regular feedback. This could be informally in a one-on-one session with questions like, ""What is something I could have done better? What are the situations that I could have helped more but didn't?"" or ""What do you like about my management style and what could be improved?"" These questions should be asked prior to the one-on-one to give time for employees to reflect. You could also solicit feedback more formally using a manager effectiveness survey or 360 feedback tool.",7cd2ae5f-2d18-4cd4-b176-1adad173e673,2017-08-17T11:05:53.955591,2018-01-25T04:20:45.949473,My manager has the right technical knowledge to help our team,,MGRCAP.3
The how sandwich,Directing focus and attention on others vs. self,"Guide managers to help employees communicate in their one-on-one conversations. Coaches at one company challenge managers to apply the 'how sandwich' to all one-on-one conversations over a week's time. They begin every one-on-one conversation with ""How are you?"" and close with ""How can I help?""",9ca78a29-5580-40ce-bf73-407ffd947085,2017-08-17T11:05:31.591135,2018-01-25T04:20:45.917183,My manager takes time to get to know me,,MGRCAR.3
One-on-one meeting games,Add facilitated games to your one-on-ones,"Use facilitated games in your one-on-one meetings with a new direct report, to help them open up. Research shows that if individuals have something to focus on, they will be more likely to disclose personal information. Additionally, games can be useful for learning new things about each other. For example, a value-sort activity gives insight into the motivation behind a direct report's behavior and what you may have in common.",f4ae5a98-5280-496b-a1a6-009cf12d0119,2017-08-17T11:05:55.563945,2018-01-25T04:20:45.958229,My manager takes time to get to know me,,MGRCAR.3
Coffee chat,Getting to know you chats,"Take time out of your day to get to know your team members on a more personal level. At one organization, managers are encouraged to have monthly chats with individual team members outside the office, usually at a local coffee shop. The intention of these conversations is to meet outside the office with no agenda and chat about life, work or anything else that is top of mind. By intentionally not having an agenda, people are able to connect on a more personal level.",e316c932-64ea-449c-abf5-939baa2621f8,2017-08-17T11:05:36.585592,2018-01-25T04:20:45.929058,My manager takes time to get to know me,,MGRCAR.3
Work life Story,Supercharge career conversations with unique insights,"Ask your team members about major milestones in their life that have shaped who they are. Ask questions about when they have felt most energized and demotivated in previous roles and what these moments tell them about what is important to them in their work. Then ask what their dreams or aspirations are for their future career. These work life story questions can help shape a more tangible career plan. To understand what might inspire people in their careers, you need to understand their stories. Read more about better career conversations at https://www.radicalcandor.com/blog/problem-career-conversations/",35a1e9ab-7e4b-4b78-a529-0fdafc612ab7,2018-06-08T02:20:22.206632,2018-06-08T02:20:22.225025,My manager takes time to get to know me,,MGRCAR.3
Walk and talk,Forfeit the battle for meeting rooms and take a walk,"Walking meetings or phone calls are especially good when you're having meetings with one or two people, and you don't need to do a lot of writing. Take a walk with the person, or with your phone. It will allow you to get a break from the office, get a different perspective to view and some exercise. It also reduces the likelihood of being distracted by emails or other interruptions, allowing you to focus on the conversation.",abd469ea-165b-4289-8bc5-99354457d82f,2018-06-08T02:20:20.982863,2018-06-08T02:20:20.991872,My manager takes time to get to know me,,MGRCAR.3
Encourage strategic thinking,Offer prompts for strategic thinking rather than solutions,"When approaching a project or task, encourage the team to think more strategically. Ask them to outline what’s trying to be achieved and why, who it might impact, the possible solutions and impacts. Encourage diversity of thought by asking the team to brainstorm solutions, rather than providing solutions to them. You can do this by setting up process improvement sessions, or keeping a list of everyday problems to be solved and setting aside half a day once a month to work through these.",bb6feedf-58be-4baf-b709-ba0919a1bdb1,2018-06-08T02:20:56.422654,2018-06-08T02:20:56.429595,"My manager asks questions about how I might solve problems, rather than just giving advice",,MGRCOA.3
Check your assumptions,Revisiting problem solving to enable your team,"Before saying anything in response to your team asking you how to solve a problem, pause. Ask yourself: ‘What assumptions am I making?’ and ‘Can they solve this problem themselves?’ If the answer to the latter is yes (or even maybe), proceed to ask them questions that ensure they analyze the situation. ""Have you experienced anything similar to this before? What did you do? How did that work out?"" ""What are three ideas you have to solve this?' Have a list of go-to questions pinned up where you can be reminded of them until pausing and checking assumptions becomes a habit.",f566e86a-d6a9-49fe-b603-2a1da6608fc1,2018-06-08T02:19:48.834900,2018-06-08T02:19:48.841667,"My manager asks questions about how I might solve problems, rather than just giving advice",,MGRCOA.3
The right people to solve problems,Identify the best group of people to solve a problem,"Before answering a question about a problem ask yourself, ‘Who has more knowledge or context about this problem?’ If it's not you, then ask more questions. ‘Do I need to make a decision now or can I gather the right people in the room to make a better decision?’ This simple framing can help ensure you don't jump straight to providing a solution. Even in instances where you may know more about the problem, it's likely your team can provide valuable context.",211ad918-7c5f-4d16-b33c-25d81f89c384,2018-06-08T02:19:49.726177,2018-06-08T02:19:49.733011,"My manager asks questions about how I might solve problems, rather than just giving advice",,MGRCOA.3
Pineapple pause,Create a code word to flag coaching opportunities,"Create an easy and fun way for team members to flag that you’ve jumped to a solution without asking questions using a code word. Agree on a code word (for example, ‘pineapple’) with your team and ask them to use it to flag when you when you offer a solution before asking questions. It's a safe way for team members to indicate that you have skipped a coaching opportunity. It also creates accountability for your team to be active in the coaching process. This can also be useful for managers who jump to conclusions before having the full picture or understanding information available.",007a8719-cda4-4c63-add6-895408935446,2018-06-08T02:19:50.610016,2018-06-08T02:19:50.621568,"My manager asks questions about how I might solve problems, rather than just giving advice",,MGRCOA.3
Two-second rule,Encouraging listening and reflection,"Encourage listening and reflection in one-on-one conversations. As a manager, challenge yourself to apply the two-second rule to all one-on-one conversations with team members: waiting two seconds before responding and responding first with an open question, then with a statement (or another question). This practice is intended to help managers seek to understand an issue, rather than to provide a solution or answer, and encourage more listening and reflection.",a6288624-1c11-4456-96a9-0ac111cfb006,2017-08-17T11:05:33.233633,2018-01-25T04:20:45.928382,"My manager asks questions about how I might solve problems, rather than just giving advice",,MGRCOA.3
Feedback moments,Encourage sharing of feedback by regularly asking for it,"Create a specific moment (for example ‘Feedback Friday’, or a stop, start, continue item on each 1:1 agenda) to make it easier for people to give feedback. Keep in mind that sharing feedback can be uncomfortable for some people. At first, make your request for feedback specific. For example: ‘Would you mind providing feedback on how I handled the confusion that arose in our last team meeting? Is there anything I could do differently next time?’",ac1277e3-851c-4fbe-be03-eeafeeb371e1,2018-06-08T02:20:57.442188,2018-06-08T02:20:57.449508,My manager gives me actionable feedback on a regular basis,,MGRCOA.5
